respid,sex,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,device1a,smart2,snsint2,device1b,device1c,device1d,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,sns2a,sns2b,sns2c,sns2d,sns2e,pial5a,pial5b,pial5c,pial5d,pial11,pial11a,pial11ao@,pial11_igbm,pial12,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln
100642,1,2,2, , , , , ,2,1,1,1,2,2,2,1,1,1,2,2,2, , ,4,2,5,1,5, ,1,1,1,"cause you can connect with people that you havent connected with in a long time, like family",2, ,0, , , ,65,3,6,1,2,2, , , ,2, ,99,2, 
100643,1,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,5, ,2,2,2,2,3,1,1,connecting people,2,2,12,1,2,2,45,1,8,1,2,1, , , ,1, ,9,2, 
100644,1,1,1,1,1,2, , ,1,1,2,1,1,2,1,1,1,1,2,2,1, ,3,2,3,2,1,1,1,1,1,1,instant communication,2,1,7,1,1,2,24,6,6,2,2,1, , , ,1, ,99,3,2
100646,2,1,1,1,1,2, , ,1,1,2,1,2,2,1,1,2,1,2,1,2, ,5,1, ,3,1,1,1,1,1,1,Connecting people from all over,2,1,1,1,2,2,46,2,6,1,2,2, , , ,2, ,6,3,2
100648,1,1,1,1,1,2, , ,1,1,1,1,2,1,1,1,2,1,2,2,1,5,5,5, ,3,4,4,4,4,1,1,communication of information efficiently and fast and very critical.,1,1,30,1,2,1,46,1,8,1,2,3, , , ,3, ,9,3,1
100649,1,1,1,4,1,2, , ,1,2,1,1,2,2,2,2,2,2,2,2,2, , , , , ,3,3,2, ,3, , ,9,3,6,1,2,2,74,1,6,3,2,1, , , ,1, ,99,3,1
100651,1,1,1,2,1,2, , ,1,1,2,1,2,2,2,1,2,1,2,2,1, , ,2, ,4,1,1,1,2,1,1,"it allows people to communicate with office and work from home, keep track of family, and learn things.",2,1,9,1,2,1,74,1,7,2,1,1, , , ,1,1,9,2, 
100652,1,1,1,3,1,2, , ,1,2,2,1,1,2,2,2,1,2,2,2,2, , , ,5, ,4,4,4, ,2,1,"everyone scales up to a social stigma, and instant gratification",8,1,1,2,2,1,29,4,4,1,2,1, , , ,1, ,8,1, 
100654,1,1,2,3,1,1,1, ,1,1,2,1,2,2,2,1,2,1,2,2,1, , ,5, ,5,1,1,3,3,1,1,Good and bad sources of info,1,1,7,1,2,2,51,3,3,1,2,2, , , ,2, ,3,3,8
100655,1,1,1,1,1,2, , ,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,4,3,5,2,3, , ,9,1,96,1,2,2,30,4,8,1,2,3, , , ,3, ,7,3,9
100656,1,1,1,1,1,2, , ,1,1,1,1,2,1,2,1,2,1,2,1,1,4, ,2, ,3,1,2,2,3,1,1,communication and news,2,1,4,1,1,2,35,1,6,1,2,1, , , ,1, ,9,1, 
100657,2,1,1,3,1,8, , ,2,1,2,1,2,2,2,1,2,1,2,2,2, , ,2, ,3,1,2,2,3,1,1,information,1,1,6,1,2,2,81,5,3,4,2,1, , , ,1, ,4,1, 
100659,2,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,4,1,1,1,3,1,1,allows us to stay connected,2,1,40,1,2,1,37,1,4,1,2,2, , , ,2, ,3,2, 
100661,1,1,1,1,2, , , ,1,1,2,1,2,2,1,2,1,1,1,1,1, ,4, ,4,1,4,1,1,3,1,1,INCREASES KNOWLEDGE BASE,1,1,96,1,2,2,70,5,8,3,2,1, , , ,1, ,8,2, 
100663,2,1,1,2,1,2, , ,1,1,1,1,1,2,1,1,2,1,2,2,1, ,4,2, ,4,4,1,1,3,1,1,access to information,1,1,6,1,2,2,40,1,6,2,2,1, , , ,1, ,9,2, 
100664,2,1,1,2,2, , , ,1,1,1,2,1,2,1,1,1,1,2,2,2, ,1,1,1,3,3,1,2,2,1,1,a lot of information out there,1,1,0, , , ,30,4,2,1,2,1, , , ,1, ,2,2, 
100665,1,1,1,2,1,2, , ,1,1,2,1,1,2,1,1,1,1,2,2,1, ,1,2,1,2,3,1,1,1,1,1,"more opportunities for things, convinent",1,1,4,1,2,2,23,6,5,1,1,1, , , ,1,1,5,2, 
100667,2,1,1,1,1,2, , ,1,1,1,1,2,1,1,1,2,1,2,1,1,3,2,2, ,2,1,1,1,3,1,1,"access to instant info, news and resources like shopping and utilities, and things you need to use everyday",1,1,96,1,1,1,59,1,6,1,2,1, , , ,1, ,9,2, 
100674,1,1,1,5,1,2, , ,2,2,1,1,1,2,2,2,2,2,2,2,2, , , , , ,2,2,4, ,3, , ,9,1,0, , , ,66,1,3,3,2,1, , , ,1, ,7,1, 
100675,1,2,2, , , , , ,2,2,2,2,1,2,2,2,2,2,2,2,2, , , , , ,4,4, , ,2,1,too many people can hack into your stuff and too much junk comes on it you dont want,6, ,15,1,2,2,71,5,1,4,2,1, , , ,1, ,1,4,8
100677,2,1,1,4,1,2, , ,2,1,2,2,2,2,2,1,2,1,2,2,2, , ,2, ,2,4,1,4,4,2,1,bad for kids,5,1,2,1,2,2,49,5,2,4,2,2, , , ,2, ,1,2, 
100678,1,2,2, , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1, , ,1,1,help,8, ,0, , , ,75,3,2,1,2,5, , , ,5, ,3,4,8
100681,1,1,2,5,2, , , ,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,4,2,4, ,2,1,not enough face to face,4,3,30,1,2,2,55,1,4,4,2,1, , , ,1, ,99,3,1
100682,1,1,1,2,1,2, , ,1,1,2,1,1,2,2,1,2,1,2,2,1, , ,1, ,2,3,2,2,3,1,1,quick access to information,1,1,20,1,2,2,65,1,7,3,2,1, , , ,1, ,6,3,8
100683,1,1,1,1,1,2, , ,1,1,1,1,2,2,1,2,2,1,1,2,2, ,1, , ,3,6,1,1,3,1,1,share information and find information,1,1,12,1,2,2,29,1,8,1,2,1, , , ,1, ,3,1, 
100684,2,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,1,1,1,1,2, , ,1,2,3,3,1,1,1,3, , ,9,1,15,1,1,2,28,2,7,1,2,1, , , ,1, ,6,2, 
100687,1,1,1,2,1,2, , ,1,1,2,1,2,2,1,1,2,1,1,2,2, ,1,1, ,3,3,2,1,3,1,1,sharing of information,1,1,6,1,2,2,30,6,6,1,2,1, , , ,1, ,3,2, 
100689,2,1,1,3,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,1, ,5,1,1,2,3,2,1,people use it too much,4,1,1,1,2,2,68,1,4,3,2,1, , , ,1, ,6,1, 
100690,2,1,1,2,1,4, , ,1,1,1,1,1,2,1,1,2,1,2,2,2, ,3,1, ,3,4,2,3,3,2,1,people are idiots,4,1,20,1,2,2,62,5,4,5,2,1,5, , ,4, ,4,2, 
100696,1,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,3, ,4,2,1,2,4,2,1,"people dont talk to each other and they do not communicate well, and all the negative things get put out on the internet.",4,1,0, , , ,40,1,5,1,2,1, , , ,1, ,8,1, 
100697,2,1,1,2,1,2, , ,1,1,2,1,2,2,1,1,1,1,2,2,2, ,2,2,1,3,4,2,1,4,2,1,Keeps kids indoors,5,1,4,1,2,2,24,6,6,1,2,1, , , ,1, ,4,1, 
100698,1,1,1,1,1,2, , ,2,1,1,1,2,2,2,2,1,1,2,2,2, , , ,3,1,4,4,3,4,1,1,church. i'm a pastor of the church and i work on the internet.,8,1,2,8,2,2,60,3,5,6,2,1,2, , ,4, ,1,2, 
100699,2,1,1,2,1,2, , ,1,1,2,1,2,2,2,1,2,1,2,2,1, , ,1, ,3,4,1,1,1,1,1,Just being able to communicate,2,1,35,1,2,2,68,1,8,3,2,1, , , ,1, ,7,3,9
100700,2,1,1,3,1,2, , ,1,2,1,1,2,2,2,2,2,1,2,2,2, , , , ,3,2,2,1, ,1,1,educational purposes,1,1,3,1,2,1,54,1,6,3,2,2, , , ,2, ,99,3,1
100701,2,1,1,2,1,2, , ,1,1,1,2,1,2,2,1,1,1,2,1,2, , ,3,2,4,3,1,1,3,1,1,everything is at your finger tips all the answers,1,1,5,1,2,2,27,2,5,1,2,1, , , ,1, ,7,3,1
100704,1,1,1,5,1,1,1, ,1,1,1,1,2,2,2,1,2,1,2,1,2, , ,3, ,2,1,2,2,2,1,1,keeps people connected,2,1,1,1,2,2,35,5,8,5,2,1, , , ,1, ,99,9,9
100705,1,1,1,1,1,2, , ,1,2,1,1,2,2,2,2,2,2,2,2,2, , , , , ,4,4,2, ,1,1,Made access to information a lot easier and quicker and made access to work materials and information easier,1,1,20,1,2,2,38,1,3,1,2,1, , , ,1, ,8,3,8
100709,1,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,2,1,1,2,2,4,3,3, ,1,4,2,2,4,1,1,"comminication easier, provides information and education",2,1,40,1,2,1,24,6,6,4,2,1, , , ,1, ,99,3,2
100711,1,1,1,1,1,2, , ,1,1,2,1,2,2,2,1,2,1,2,2,1, , ,1, ,2,3,2,1,2,1,1,access to information,1,1,7,1,2,1,32,2,6,1,2,1, , , ,1, ,99,2, 
100712,1,1,1,2,1,2, , ,1,1,1,1,1,1,2,1,1,1,2,1,1,2, ,2,4,1,2,1,1,4,3, , ,9,1,2,1,2,1,44,1,5,1,2,1, , , ,1, ,6,1, 
100713,1,1,1,1,1,2, , ,2,1,2,1,2,1,1,1,2,1,1,2,1,3,4,1, ,3,1,5,1,1,1,1,"We are instantly connected, and are able to find all our frieds online so easily.",2,1,0, , , ,65,6,5,1,2,1, , , ,1, ,9,3,1
100716,1,1,1,1,1,2, , ,1,1,2,2,1,1,1,1,1,1,2,2,2,5,1,1,1,5,4,2,4,2,1,8, ,9,1,1,2,2,2,18,6,3,2,2,3, , , ,3, ,2,1, 
100717,1,1,1,1,1,2, , ,1,1,1,1,2,2,1,1,2,1,2,1,2, ,1,1, ,1,3,2,3,4,1,1,"helps you connect to ppl you havent seen in a while, anything you need to do you can do it on the internet",2,1,8,1,2,2,49,6,5,4,2,2, , , ,2, ,2,3,2
100718,2,1,1,1,2, , , ,1,1,1,2,1,2,1,1,1,1,1,2,2, ,1,1,1,1,4,1,1,2,1,1,just information its very convienient,1,1,45,1,2,2,37,6,6,5,2,2, , , ,2, ,4,3,2
100719,1,1,1,1,1,2, , ,1,2,1,1,1,2,2,2,2,1,2,1,1, , , , ,1,1,2,1, ,1,1,it puts a great deal of information at your fingertip,1,1,4,1,2,2,41,1,6,1,2,2, , , ,2, ,8,2, 
100721,2,2,2, , , , , ,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,3, , ,1,1,information,1, ,0, , , ,74,5,3,4,2,3, , , ,3, ,98,2, 
100722,1,1,1,2,2, , , ,1,1,2,2,1,1,2,1,2,1,1,1,1,3, ,3, ,3,2,3,2,4,3, , ,9,1,6,1,2,2,34,6,4,4,2,1, , , ,1, ,2,3,8
100723,2,1,1,2,2, , , ,1,2,2,2,2,2,2,1,1,1,2,2,2, , ,5,5,5,3,2,4, ,3, , ,9,1,5,1,2,1,25,6,3,4,2,2, , , ,2, ,1,2, 
100724,2,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,2, ,5,3,2,3,3,3, , ,9,1,2,1,2,2,54,6,3,1,2,1, , , ,1, ,2,4,9
100725,2,1,1,2,1,2, , ,1,1,1,1,1,1,2,1,2,1,2,2,1,4, ,1, ,4,1,1,1,1,1,1,keeps everyone connected,2,1,12,1,2,1,57,5,6,1,2,1, , , ,1, ,7,3,2
100726,2,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,3,2,1,people are too focused on their devices,4,1,4,1,2,2,41,2,4,1,2,1, , , ,1, ,4,3,1
100727,1,1,2,2,1,2, , ,2,1,2,1,2,2,2,1,2,1,2,2,2, , ,1, ,3,1,1,1,1,1,1,knowledge,1,1,0, , , ,59,3,5,8,2,1, , , ,1, ,5,2, 
100729,1,1,2,5,1,2, , ,8,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,2,3,4, ,2,1,spend too much time on it,4,1,12,1,2,2,71,1,6,3,2,1, , , ,1, ,8,3,8
100730,2,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,2,2,2,1, , ,1, , ,3,2,3,3,3, , ,9,1,7,1,1,2,47,2,6,1,2,2, , , ,2, ,99,9,9
100733,2,1,1,2,1,2, , ,1,1,1,1,1,2,2,1,2,1,2,2,2, , ,1, ,3,4,4,4,4,1,1,forward progression,8,1,10,1,2,2,62,3,6,1,2,1, , , ,1, ,6,3,1
100736,1,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,1,increases communication,2,1,23,1,2,1,24,2,7,1,2,2, , , ,2, ,8,2, 
100737,1,1,2,5,1,2, , ,1,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,2,4,4, ,1,1,good research tool,1,1,12,1,2,2,59,1,3,3,2,1, , , ,1, ,8,1, 
100739,2,1,1,2,1,2, , ,1,1,1,1,1,1,1,1,2,1,2,1,1,5,5,4, ,4,3,1,1,2,1,1,access to information and levels the plain field for everyone to have access to information for everything,1,1,7,1,2,1,52,1,6,1,2,2, , , ,2, ,5,2, 
100740,1,1,1,2,1,2, , ,1,2,2,1,2,2,2,1,2,1,2,2,2, , ,4, ,3,4,3,2, ,2,1,I THINK IT ENCOURAGES SHALLOWNESS IN SYNCING,8,2,96,1,1,1,21,6,3,2,2,1, , , ,1, ,9,2, 
100742,2,1,1,2,1,2, , ,1,1,1,1,1,1,2,1,2,1,2,2,1,3, ,2, ,4,4,1,1,8,1,1,the transmission of information and the access of resources to people who would not normally have them,1,1,24,1,1,1,45,1,7,5,2,1, , , ,1, ,7,2, 
100747,2,2,2, , , , , ,8,2,2,2,2,2,2,8,2,2,2,2,2, , , , , ,4,4, , ,2,1,lo que ase la gente son barbadidades,9, ,2,8,1,8,75,4,6,3,1,1, , , ,1,3,98,8,2
100748,2,1,1,3,1,2, , ,1,1,1,2,2,2,1,1,2,2,2,1,2, ,3,2, , ,1,2,2,3,1,1,find out things you don't normally know,1,1,2,1,2,2,67,3,99,3,2,1, , , ,1, ,99,4,1
100751,2,1,1,2,2, , , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,1, ,3,4,2,3,4,1,1,alot of information you can get,1,8,0, , , ,66,5,2,3,2,1, , , ,1, ,1,1, 
100753,2,1,1,2,1,2, , ,1,1,2,2,2,2,1,1,1,1,2,2,2, ,1,1,4,3,4,2,2,2,3, , ,9,1,5,1,2,2,27,2,5,1,2,1, , , ,1, ,2,3,2
100754,2,1,1,1,1,2, , ,2,1,1,1,2,2,2,1,2,2,2,2,2, , ,5, , ,3,1,1,4,1,1,knowledge,1,1,0, , , ,73,5,3,2,2,2, , , ,2, ,99,2, 
100757,1,1,1,2,1,2, , ,1,1,2,1,1,1,2,1,2,1,2,2,1,3, ,1, ,1,4,2,2,4,2,1,more access to negativity,3,1,7,1,2,2,25,6,6,1,2,1, , , ,1, ,9,1, 
100758,1,1,2,2,1,2, , ,2,1,2,1,2,2,2,1,2,1,2,2,2, , ,3, ,3,2,3,2,4,1,1,easy inforation,1,1,60,2,1,1,65,1,8,3,2,1, , , ,1, ,6,2, 
100759,1,1,1,2,1,2, , ,1,2,1,1,1,1,2,2,2,1,1,2,2,3, , , ,3,2,2,2, ,1,1,helps with information,1,1,1,1,2,2,48,1,5,1,2,1, , , ,1, ,8,3,1
100760,2,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,1,3, ,1,1,1,1,1,1,has opened up acccess to information,1,1,5,1,1,1,31,1,6,1,2,1, , , ,1, ,8,2, 
100764,1,1,1,1,2, , , ,1,1,2,2,2,2,1,1,1,1,1,1,2, ,1,2,2,2,1,1,1,2,3, , ,9,1,5,1,2,2,27,6,3,4,1,7, , , ,5,3,2,9,9
100765,1,1,1,2,1,2, , ,1,1,1,1,1,2,1,1,1,1,2,1,2, ,1,2,1,2,2,1,1,3,1,1,access to information,1,1,20,1,1,2,46,1,6,1,2,1, , , ,1, ,9,3,1
100767,1,1,1,1,1,2, , ,1,1,1,1,2,1,2,1,2,1,2,1,1,4, ,1, ,4,2,2,1,2,2,1,Social media has been anti-social media,4,1,6,1,2,2,51,3,5,1,2,1, , , ,1, ,7,3,1
100769,2,1,1,4,1,2, , ,1,1,1,1,1,2,2,1,1,1,2,1,2, , ,2,3,2,1,5,5,4,1,1,communication information,2,1,0, , , ,53,6,3,1,2,2, , , ,2, ,4,2, 
100772,1,1,1,1,1,2, , ,1,1,1,1,2,2,1,1,2,1,1,2,1, ,5,1, ,1,2,1,1,3,1,1,because its access to information in its simplest form in a quick manner,1,1,3,1,2,2,41,1,3,2,2,2, , , ,2, ,8,3,2
100773,1,1,2,2,1,2, , ,2,1,2,1,1,1,2,2,2,1,2,2,2,2, , , ,1,2,3,1,2,1,1,having information readily available,1,1,0, , , ,24,6,3,2,2,1, , , ,1, ,3,2, 
100775,1,1,1,2,1,2, , ,1,2,1,1,1,2,2,2,2,1,1,2,2, , , , ,3,4,4,3, ,3, , ,9,1,12,2,1,2,28,6,6,2,2,2, , , ,2, ,98,3,9
100776,2,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,1,3,3,2,1,1,1,2,1,WE HAVE ALL BECOME SO DEPENDENT ON THE INTERNET. WE ALL CANNOT DO ANYTHING WITHOUT IT.,4,1,5,1,2,1,41,6,3,1,2,1, , , ,1, ,5,3,2
100777,2,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,3, ,5,2,1,2,3,1,1,global info sharing,1,1,3,1,2,2,67,4,4,1,1,7, , , ,5,1,9,2, 
100778,1,2,2, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,3, , ,2,1,bad things on it,6, ,0, , , ,58,3,3,1,2,1, , , ,1, ,6,4,2
100779,2,1,1,2,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,pretty helpful,8,1,5,1,2,1,21,6,4,4,2,1, , , ,1, ,7,2, 
100780,1,1,1,1,1,2, , ,1,1,2,1,1,1,1,1,1,1,1,2,1,3,4,4,1,2,1,1,1,3,1,1,"it gives people access information, services that they did not have before",1,1,5,1,2,2,21,6,4,2,2,1, , , ,1, ,8,3,2
100781,1,2,1,2,2, , , ,2,2,2,1,2,2,2,2,2,1,2,2,2, , , , ,1,1,1,1, ,1,1,it can transmit and release information quickly,1,1,0, , , ,70,3,5,2,2,2, , , ,2, ,3,2, 
100782,2,2,1,1,1,2, , ,2,1,2,1,2,2,2,1,2,1,2,2,2, , ,2, ,5,2,2,1,2,8, , ,9,1,2,1,2,2,68,3,4,3,2,1, , , ,1, ,3,3,9
100785,1,1,1,2,2, , , ,1,1,2,1,1,1,1,1,2,1,2,1,1,5,1,1, ,5,6,2,2,3,1,1,additiuonal access,9,1,8,1,2,2,99,9,7,1,2,9, , , ,9, ,99,3,8
100786,1,2,2, , , , , ,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1,3, , ,1,1,you can get information from it,1, ,0, , , ,82,1,5,3,2,1, , , ,1, ,4,3,9
100790,2,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,3,2,1,1,1,1,1,1,allows access to more knowledge and information,1,1,0, , , ,39,1,6,1,2,1, , , ,1, ,9,2, 
100791,2,1,1,1,1,2, , ,1,1,2,1,2,2,2,1,2,2,2,1,2, , ,1, , ,4,1,1,2,2,1,no exercise and no communication with people,4,1,6,1,2,2,73,3,4,3,2,1, , , ,1, ,2,1, 
100792,1,1,1,2,1,2, , ,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1, ,1,1,5,1,1,1,1,"we use the internet to look up directions, look at news, stay updated on the world",1,1,97,1,1,1,25,6,3,1,2,1, , , ,1, ,3,3,8
100795,2,2,2, , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,4, , ,2,1,corrupts peoples' minds,8, ,0, , , ,29,1,5,6,2,1, , , ,1, ,2,1, 
100796,1,1,1,2,1,2, , ,1,2,1,1,1,2,2,2,2,2,2,2,2, , , , , ,2,1,2, ,1,1,Speeded up efficiency for everything,8,8,3,1,2,2,51,1,7,1,2,1, , , ,1, ,9,1, 
100799,1,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,2,1,5,1,1,1,1,4,1,4,4,1,1,its good for networking between businesses and for navigation,2,1,90,2,2,1,23,2,6,1,2,1, , , ,1, ,3,1, 
100802,1,1,1,2,1,2, , ,1,1,2,1,2,1,2,1,2,1,2,2,1,3, ,1, ,1,2,1,1,4,1,1,business,8,1,12,1,2,2,64,6,8,1,2,1, , , ,1, ,6,1, 
100805,2,1,1,1,1,2, , ,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,3,1,1,you can look up anuything,1,1,4,1,1,2,26,2,3,2,1,2, , , ,2,1,5,1, 
100807,1,2,2, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,3, , ,2,1,All this technology has ruined the world (why) just think so,8, ,0, , , ,87,1,3,3,2,1, , , ,1, ,3,1, 
100811,1,1,1,2,1,2, , ,1,1,1,1,1,2,1,1,1,1,2,2,1, ,2,1,2,3,3,1,1,2,1,1,the internet connects people,2,1,15,1,1,2,29,1,6,1,2,1, , , ,1, ,8,2, 
100812,1,1,1,1,1,2, , ,1,1,1,1,2,2,1,1,1,1,2,2,1, ,3,1,2,1,3,1,1,3,2,1,"education is lacking severely because of it, you just have to google it",3,1,97,1,2,2,43,1,6,1,2,1, , , ,1, ,9,1, 
100813,1,1,1,2,1,2, , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,1, ,1,3,3,2,2,2,1,Too much information about bad things,3,1,50,2,1,1,63,3,4,6,2,1, , , ,1, ,2,1, 
100815,1,1,1,2,1,2, , ,1,1,1,1,1,1,2,2,2,1,2,2,2,1, , , ,2,2,1,1,4,1,1,sharing of informsation,1,1,22,1,2,1,43,1,6,1,2,1, , , ,1, ,8,1, 
100816,1,2,2, , , , , ,2,2,1,1,2,2,2,2,2,1,2,2,2, , , , ,2,1,2, , ,8, , ,9, ,26,1,1,2,61,5,3,3,2,2, , , ,2, ,99,2, 
100817,1,1,1,1,1,2, , ,1,1,1,1,1,2,2,1,2,2,1,2,1, , ,2, , ,2,1,1,4,1,1,Ability to access information,1,1,4,1,1,2,36,1,6,1,2,3, , , ,3, ,99,3,2
100818,2,1,1,2,1,2, , ,1,1,1,2,1,2,2,1,2,2,2,2,2, , ,2, , ,3,1,2,3,8, , ,9,1,98,2,2,1,46,3,3,1,2,1, , , ,1, ,5,4,8
100820,2,1,1,2,1,2, , ,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,3,2,1,2,1,3,1,1,increased communication,2,1,26,2,1,1,38,1,6,1,2,1, , , ,1, ,8,1, 
100821,1,1,1,1,1,2, , ,1,1,2,1,2,2,2,1,2,1,2,2,1, , ,1, ,1,2,1,1,3,1,1,"ease of accessing info, ease of communicating",1,1,15,2,2,1,57,2,4,1,2,1, , , ,1, ,7,1, 
100822,1,1,1,1,2, , , ,1,1,2,1,2,2,2,1,1,1,2,2,2, , ,1,2,1,3,3,3,3,1,9, ,9,1,0, , , ,26,6,3,1,2,2, , , ,2, ,4,1, 
100823,1,1,1,1,1,2, , ,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,3,1,2,1,1,Acess to information,1,1,4,1,2,1,20,6,4,2,2,1, , , ,1, ,6,2, 
100825,1,1,1,2,1,2, , ,1,1,2,1,2,2,1,2,1,1,1,2,1, ,1, ,3,3,3,1,1,3,8, , ,9,1,28,1,1,2,32,6,6,1,2,1, , , ,1, ,4,3,8
100826,2,1,1,1,1,2, , ,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,8, , ,9,1,80,1,2,2,18,6,4,2,2,1, , , ,1, ,2,1, 
100828,1,1,1,2,8, , , ,1,1,2,1,1,1,1,1,1,1,2,1,2,4,1,2,1,1,1,1,1,1,1,1,connections,2,1,5,1,2,2,21,6,3,2,2,1, , , ,1, ,7,3,1
100831,2,1,1,2,1,2, , ,2,1,1,2,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,1,1,because i feel like it gives people access to being social,2,1,2,1,1,2,56,3,3,3,2,2, , , ,2, ,2,2, 
100832,2,1,1,2,2, , , ,1,2,1,1,2,2,2,2,1,1,1,2,2, , , ,1,1,1,1,1, ,1,8, ,9,1,0, , , ,23,1,2,1,1,1, , , ,1,3,3,3,8
100833,2,1,1,1,1,2, , ,1,1,1,1,2,1,2,1,1,1,2,1,1,3, ,1,3,4,1,1,1,3,1,1,avaliabilty of information,1,1,15,2,2,1,56,1,8,1,2,1, , , ,1, ,8,2, 
100834,2,1,1,1,1,2, , ,1,1,1,1,2,2,1,1,2,1,1,1,1, ,3,1, ,3,1,1,1,2,3, , ,9,1,12,1,2,2,58,1,6,4,2,1, , , ,1, ,7,1, 
100835,2,1,2,5,1,8, , ,1,1,2,2,2,1,2,1,1,2,2,1,2,8, ,2,2, ,4,1,4,4,1,1,news,1,2,5,1,2,2,18,6,2,1,1,7, , , ,5,1,98,8,8
100840,1,1,2,3,1,2, , ,1,2,2,1,2,2,2,1,2,2,2,2,2, , ,4, , ,2,2,2, ,1,1,takes the place of the encyclopedia brittanica,1,1,5,1,2,2,85,1,8,3,2,1, , , ,1, ,98,1, 
100842,1,2,2, , , , , ,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,6,1, , ,3, , ,9, ,1,2,1,2,48,3,6,6,1,7, , , ,5,3,98,3,2
100843,2,1,1,1,1,2, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,information access,1,1,24,1,1,1,47,1,8,1,2,1, , , ,1, ,9,3,1
100845,1,1,1,3,1,8, , ,1,1,2,1,1,2,1,1,1,1,2,2,2, ,1,3,1,1,4,2,4,3,2,1,keeps people on thier phone all day,4,1,0, , , ,18,6,2,4,2,1, , , ,1, ,98,1, 
100846,1,1,1,1,1,2, , ,1,1,1,1,2,2,1,2,2,1,1,2,2, ,1, , ,2,4,2,3,4,1,1,uniendo comonication,9,1,0, , , ,45,1,8,2,1,1, , , ,1,3,98,3,2
100849,1,1,1,1,1,2, , ,1,1,2,1,1,1,2,2,1,1,2,2,2,3, , ,1,1,4,1,1,4,1,1,quick access to any sort of information,1,1,4,1,1,1,20,6,3,2,2,1, , , ,1, ,6,1, 
100850,2,1,1,2,1,2, , ,1,1,2,1,1,2,2,1,2,1,2,2,2, , ,1, ,4,4,1,1,4,1,1,knowledge,1,1,20,2,2,1,49,1,8,1,2,1, , , ,1, ,7,2, 
100851,2,1,1,3,2, , , ,1,1,2,2,2,2,2,1,2,2,2,2,2, , ,2, , ,4,2,4,4,1,1,facebook helps me to get ahold of my family,2,1,0, , , ,25,6,3,6,2,1, , , ,1, ,1,3,8
100852,1,1,1,2,2, , , ,1,1,1,1,1,2,1,1,2,1,1,2,2, ,5,1, ,1,2,1,2,4,1,1,mas communicasion,2,1,10,1,1,1,19,6,3,1,1,1, , , ,1,3,3,3,2
100853,1,1,1,4,2, , , ,1,1,2,2,2,2,1,1,2,2,1,2,2, ,5,1, , ,4,1,2,2,1,1,porque hay muchos beneficios para hacer varios trabajos,9,1,5,1,1,1,30,1,1,2,1,1, , , ,1,3,2,3,2
